,game_id,week,season,posteam,defteam,weekday,gametime,away_score,home_score,location,roof,surface,went_for_it,fourth_count,pass_epa,pass_count_x,run_epa,run_count_x,xpass,pass_oe,pass_count_y,run_success,run_count_y,pass_success,pass_count
45,2021_03_SEA_MIN,3,2021,MIN,SEA,Sunday,16:25,17.0,30.0,Home,closed,sportturf,0,6,19.21688119043894,39,-2.3436241746530864,34,40.03396459668875,-1.0339645966887476,73,9.0,34,26.0,39
46,2021_03_GB_SF,3,2021,SF,GB,Sunday,20:20,30.0,28.0,Home,outdoors,grass,0,5,0.6683211067575021,44,2.1035573587578256,21,43.64528197050095,0.3547180294990537,65,10.0,21,21.0,44
47,2021_03_PHI_DAL,3,2021,DAL,PHI,Monday,20:15,21.0,41.0,Home,closed,fieldturf,2,6,11.571619776455918,30,-4.885265231801895,38,35.39794974774122,-3.3979497477412224,68,19.0,38,21.0,30
48,2021_04_JAX_CIN,4,2021,CIN,JAX,Thursday,20:20,21.0,24.0,Home,outdoors,grass,0,4,17.589502797128443,33,0.4053568253625721,22,33.32884392514825,-0.3288439251482485,55,11.0,22,19.0,33
49,2021_04_WAS_ATL,4,2021,ATL,WAS,Sunday,13:00,34.0,30.0,Home,outdoors,fieldturf,0,6,12.4066345705757,43,-4.894475303241052,28,47.19259703159332,-4.192597031593323,71,10.0,28,21.0,43
50,2021_04_HOU_BUF,4,2021,BUF,HOU,Sunday,13:00,0.0,40.0,Home,outdoors,astroturf,2,7,2.466696937063778,32,5.699347132095389,38,38.280822321772575,-4.280822321772575,70,22.0,38,20.0,32
51,2021_04_DET_CHI,4,2021,CHI,DET,Sunday,13:00,14.0,24.0,Home,outdoors,grass,1,6,3.215261419767688,18,7.413015584577806,37,26.884799361228943,-7.884799361228943,55,17.0,37,8.0,18
52,2021_04_CAR_DAL,4,2021,DAL,CAR,Sunday,13:00,28.0,36.0,Home,closed,fieldturf,1,7,6.621061382902786,24,7.882117454138351,32,26.884232491254807,-3.8842324912548074,56,18.0,32,13.0,24
53,2021_04_IND_MIA,4,2021,MIA,IND,Sunday,13:00,27.0,17.0,Home,outdoors,grass,2,9,-0.5592807053368256,33,-4.209695093042683,16,32.50423966348171,2.495760336518288,49,4.0,16,14.0,33
54,2021_04_CLE_MIN,4,2021,MIN,CLE,Sunday,13:00,14.0,7.0,Home,closed,sportturf,3,10,-9.819370267214254,40,-6.411836098704953,22,46.32624331116676,-5.326243311166763,62,7.0,22,12.0,40
