,game_id,week,season,posteam,defteam,run_epa,run_count
846,2021_04_NYG_NO,4,2021.0,NYG,NO,-1.9404221035729505,21
854,2021_04_PIT_GB,4,2021.0,GB,PIT,-0.8360242836934049,31
861,2021_04_PIT_GB,4,2021.0,PIT,GB,2.262745884654578,16
868,2021_04_SEA_SF,4,2021.0,SEA,SF,0.9702482595457695,26
875,2021_04_SEA_SF,4,2021.0,SF,SEA,-0.6809867226546635,30
883,2021_04_TB_NE,4,2021.0,NE,TB,-3.425334646482952,7
891,2021_04_TB_NE,4,2021.0,TB,NE,4.894323247426655,27
899,2021_04_TEN_NYJ,4,2021.0,NYJ,TEN,-7.355571862148528,24
906,2021_04_TEN_NYJ,4,2021.0,TEN,NYJ,1.7918893523902468,37
914,2021_04_WAS_ATL,4,2021.0,ATL,WAS,-4.894475303241052,28
922,2021_04_WAS_ATL,4,2021.0,WAS,ATL,-2.7389447385356758,28
930,2021_05_BUF_KC,5,2021.0,BUF,KC,3.5133582589915022,25
937,2021_05_BUF_KC,5,2021.0,KC,BUF,-2.5842351450992282,23
945,2021_05_CHI_LV,5,2021.0,CHI,LV,-6.125986060239988,37
951,2021_05_CHI_LV,5,2021.0,LV,CHI,-1.5874090862926094,22
959,2021_05_CLE_LAC,5,2021.0,CLE,LAC,9.536287536204327,35
966,2021_05_CLE_LAC,5,2021.0,LAC,CLE,8.418980488189963,23
973,2021_05_DEN_PIT,5,2021.0,DEN,PIT,0.6199655677191913,18
981,2021_05_DEN_PIT,5,2021.0,PIT,DEN,-1.0950400968768887,34
987,2021_05_DET_MIN,5,2021.0,DET,MIN,1.0673248184320985,24
995,2021_05_DET_MIN,5,2021.0,MIN,DET,-9.007892303867266,28
1002,2021_05_GB_CIN,5,2021.0,CIN,GB,-1.5945279351979937,24
1010,2021_05_GB_CIN,5,2021.0,GB,CIN,-0.1585789297040452,22
1016,2021_05_IND_BAL,5,2021.0,BAL,IND,-11.258239146627485,26
1023,2021_05_IND_BAL,5,2021.0,IND,BAL,3.410973028168992,26
1031,2021_05_LA_SEA,5,2021.0,LA,SEA,0.13519856416125264,28
1038,2021_05_LA_SEA,5,2021.0,SEA,LA,-7.227231994271278,25
1045,2021_05_MIA_TB,5,2021.0,MIA,TB,-0.31702004210092116,9
1054,2021_05_MIA_TB,5,2021.0,TB,MIA,2.820375616897283,22
1061,2021_05_NE_HOU,5,2021.0,HOU,NE,-7.058863230457064,24
1069,2021_05_NE_HOU,5,2021.0,NE,HOU,-8.015197527982764,30
1075,2021_05_NO_WAS,5,2021.0,NO,WAS,0.59208285517525,18
1082,2021_05_NO_WAS,5,2021.0,WAS,NO,2.137330052471952,33
