,game_id,week,season,posteam,defteam,pass_success,pass_count,expected_success
116,2021_04_NYG_NO,4,2021.0,NO,NYG,15.0,26,12.319680044092888
117,2021_04_NYG_NO,4,2021.0,NYG,NO,20.0,40,19.213426233944524
118,2021_04_PIT_GB,4,2021.0,GB,PIT,17.0,39,18.716398598069198
119,2021_04_PIT_GB,4,2021.0,PIT,GB,15.0,42,20.464022556990557
120,2021_04_SEA_SF,4,2021.0,SEA,SF,8.0,26,12.323462179806473
121,2021_04_SEA_SF,4,2021.0,SF,SEA,21.0,43,20.710516481297248
122,2021_04_TB_NE,4,2021.0,NE,TB,24.0,46,21.861305879905963
123,2021_04_TB_NE,4,2021.0,TB,NE,18.0,44,20.965211867789336
124,2021_04_TEN_NYJ,4,2021.0,NYJ,TEN,16.0,35,16.916728361845383
125,2021_04_TEN_NYJ,4,2021.0,TEN,NYJ,24.0,56,26.442680732485385
126,2021_04_WAS_ATL,4,2021.0,ATL,WAS,21.0,42,19.852990709767468
127,2021_04_WAS_ATL,4,2021.0,WAS,ATL,18.0,34,16.465212587376268
128,2021_05_BUF_KC,5,2021.0,BUF,KC,12.0,26,12.467193762352666
129,2021_05_BUF_KC,5,2021.0,KC,BUF,28.0,56,27.106465895426098
130,2021_05_CHI_LV,5,2021.0,CHI,LV,11.0,22,10.659779282751098
131,2021_05_CHI_LV,5,2021.0,LV,CHI,13.0,38,18.05359986512253
132,2021_05_CLE_LAC,5,2021.0,CLE,LAC,14.0,32,15.33043959559302
133,2021_05_CLE_LAC,5,2021.0,LAC,CLE,19.0,45,21.430275725449025
134,2021_05_DEN_PIT,5,2021.0,DEN,PIT,22.0,40,19.126642267373555
135,2021_05_DEN_PIT,5,2021.0,PIT,DEN,14.0,26,12.44180584852991
136,2021_05_DET_MIN,5,2021.0,DET,MIN,14.0,39,18.61476638980623
137,2021_05_DET_MIN,5,2021.0,MIN,DET,17.0,35,16.40128686459443
138,2021_05_GB_CIN,5,2021.0,CIN,GB,19.0,41,20.194642894797436
139,2021_05_GB_CIN,5,2021.0,GB,CIN,20.0,40,18.994296028804296
140,2021_05_IND_BAL,5,2021.0,BAL,IND,33.0,45,22.132481735327275
141,2021_05_IND_BAL,5,2021.0,IND,BAL,19.0,37,17.391828328296725
142,2021_05_LA_SEA,5,2021.0,LA,SEA,21.0,38,18.488538477010486
143,2021_05_LA_SEA,5,2021.0,SEA,LA,16.0,35,16.859823902349742
144,2021_05_MIA_TB,5,2021.0,MIA,TB,19.0,42,20.95800151825762
145,2021_05_MIA_TB,5,2021.0,TB,MIA,31.0,45,22.034110811800247
146,2021_05_NE_HOU,5,2021.0,HOU,NE,17.0,32,15.15943969880955
147,2021_05_NE_HOU,5,2021.0,NE,HOU,17.0,30,14.377795960846086
148,2021_05_NO_WAS,5,2021.0,NO,WAS,13.0,32,15.275051646481945
149,2021_05_NO_WAS,5,2021.0,WAS,NO,17.0,43,20.181940157450466
